Nome da Música,link,album,letra
Amor de Índio,/djavan/amor-de-indio.html,,"Tudo que move é sagrado E remove as montanhas Com todo cuidado, meu amor Enquanto a chama arder Todo dia te ver passar Tudo viver a teu lado Com o arco da promessa No azul pintado pra durar  Abelha fazendo mel Vale o tempo que não voou A estrela caiu do céu O pedido que se pensou O destino que se cumpriu De sentir teu calor E ser todo  Todo dia é de viver Para ser o que for E ser tudo  Sim, todo amor é sagrado E o fruto do trabalho É mais que sagrado, meu amor A massa que faz o pão Vale a luz do teu suor Lembra que o sono é sagrado E alimenta de horizontes O tempo acordado de viver  No inverno te proteger No verão sair pra pescar No outono te conhecer Primavera poder gostar No estio me derreter Pra na chuva dançar E andar junto  O destino que se cumpriu De sentir teu calor E ser tudo"
Andaluz,/djavan/andaluz.html,Coisa De Acender,"ANDALUZ Djavan / Flavia Virginia   Estrela minha luz do dia abacate e mel cheiro de haxi tarde de frio beija-flor, flores na varanda se transam sombra de luz ui de amor frugal, casa azul babalaó, olorum, alá, dalai-lama vigiai governador porque o povo, virgem maria! Sai da janela se quer sonhar vem pra cama deus lhe fez viver pra me querer amor quase 2.000 salvaria a arara azul o circo é orfei vai lua, é dia deixa vir os raios de sol tens a noite longe de mim sevilha incensa o ar andaluz babalaó, olorum, alá, dalai-lama vigiai governador porque o povo, virgem maria! Sai da janela se quer sonhar vem pra cama vem pra ca pra voce ver o que é bom pra voce montes au ginkgo plein de rameaux viens dõici soup'onner des oiseaux qui ne volent pas viens tu voler je voyage partout"
Anjo de Vitrô,/djavan/anjo-de-vitro.html,Rua dos Amores,"Noutro lugar amanheceu A várzea florescida ressurgiu... Pensei sob o excelso mundo: E eu?... Céu singular Bruma a pender, Da margem escura luz a devenir Será seu rosto imaculado A refulgir? Pra abalar com essa graça toda Num dia feito pra surpreender, Avisto o vento rasgar sedento De Norte a Sul! Mas era só a chuva que caía Com suas setas transpassando o dia Tecendo a noite azul!  Dada como um anjo de vitrô, Pura flor sem pecado Você tímida e assustada E eu aqui... deslumbrado Mas num dia delirante Escalou-me em voo irado, Dando pinta, tipo pronta ? Embarquei...  Céu singular Bruma a pender, Da margem escura luz a devenir Será seu rosto imaculado A refulgir? Pra abalar com essa graça toda Num dia feito pra surpreender, Avisto o vento rasgar sedento De Norte a Sul! Mas era só a chuva que caía Com suas setas transpassando o dia Tecendo a noite azul!  Dada como um anjo de vitrô, Pura flor sem pecado Você tímida e assustada E eu aqui... deslumbrado Mas num dia delirante Escalou-me em voo irado, Dando pinta, tipo pronta ? Embarquei encantado Com um anjo de vitrô...  Dada como um anjo de vitrô, Pura flor sem pecado Você tímida e assustada E eu aqui... deslumbrado Mas num dia delirante Escalou-me em voo irado, Dando pinta, tipo pronta ? Embarquei encantado!"
Ânsia de Viver,/djavan/ansia-de-viver.html,vidas pra contar,"Se pretender me dominar Sou escravo Visando a nada lhe faltar Me endivido E nessa ânsia de viver Eu me mato Pra me aquecer Com o seu calor Se quer saber por que você Logo direi É um bater descompassado Que me vem Nem é preciso Deus dizer O certo sou eu Pra conviver Com os lábios seus E na luz que existe Para o dia iluminar Vê-se um par romântico Se beijar se olhando No fundo azul É zoom, é zen Você e eu E mais ninguém Já que o amor soberano Pode enxergar no escuro Vou estar sempre esperando Você me aclamar O seu porto seguro"
Ao Menos Um Porto,/djavan/ao-menos-um-porto.html,D,"Eu que sou de declamar O seu nome nas ruas Volta pra mim Pra não me destruir Ruim que pode piorar É assim que eu me sinto Não, não se vá Venha cá Vem pra mim Canteiros onde não sei Irei encontrá-los Nas nuvens De quando eu lhe abraço E tudo é tão bom Nada é tão bom Amor que tanto guardei Pra lhe dedicar Sem medir, sem pensar Sem amar não dá pra viver Nem pra morrer Ninguém pode mensurar Quando bate é uma coisa Pra nunca mais Não se vá Vem pra mim Barco a derivar Sem lugar pra ir Sem um mar Nada que vá me garantir Ao menos um porto Na escuridão Que vai ser Caso me diga: não  Ninguém pode mensurar Quando bate é uma coisa Pra nunca mais Não se vá Vem pra mim Canteiros onde não sei Irei encontrá-los Nas nuvens De quando eu lhe abraço E tudo é tão bom Nada é tão bom Amor que tanto guardei Pra lhe dedicar Sem medir, sem pensar Sem amar não dá pra viver Nem pra morrer Eu que sou de declamar O seu nome nas ruas Não, não se vá Venha cá Vem pra mim"
Apoteose Ao Samba,/djavan/apoteose-ao-samba.html,Ária,"Samba, Quando vens aos meus ouvidos, Embriagas meus sentidos, Trazes inspiração, A dolência que possuis na estrutura, É uma sedução, Vai alegrar o coração daquela criatura, Que com certeza está sofrendo de paixão.  Samba, Soprado por muitos ares Atravessaste os sete mares, Com evolução, O teu ritmo que te torna ainda mais ardente, Quando vem da alma de nossa gente.  Eu quero que sejas sempre meu amigo leal, Não me abandones não, Vejo em ti o lenitivo ideal, Em todos os momentos de aflição, És meu companheiro inseparável de tradição, Devo-lhe toda gratidão, Samba, eu confesso, És a minha alegria, Eu canto para esquecer a nostalgia."
Aquele Um,/djavan/aquele-um.html,Para Sempre: Djavan,"Baixou Num centro de mesa de um bar Um santo estranho Cheirou, fumou, não cuspiu, Sei lá..... E tocou piano Falou que ""era aquele um"" Das quebradas O santo de cama Das mal amadas Alguém do centro perguntou o seu ponto Aí o santo lhe respondeu: Meu ponto é qualquer um Com bicheiro e taxi  Zarakiê, Zaraquiê, Zoroquiê Zaraquiê, Zoroquiê Zô  © copyright 1980 Tapajós/EMI"
Ares Sutis,/djavan/ares-sutis.html,Rua dos Amores,"Quanto mais eu sei Menos eu sei quem sou. Será que eu vivi Tudo porque passei... E quem será que eu sou? Mesmo podendo imaginar O que eu quiser, Eu não sei se sou tanto!  Quanto mais eu sou Menos sou o que sei. E pra o que nasci, Será que cumprirei? O que será que eu sei Num corpo a mendigar, Qual é a lei No desvão do amar?  Me consumi Pra ter um pouco de ti, Clamei por atenção! Jamais usei Sapatos tão peculiares, Andei vestida por colares mis, Violentei até meus ares sutis!...  E o que não tem fim Começa outra vez: Quanto mais eu sou Acho que mais eu sei O que vai ser, enfim - Sedada de afeição - Eu vou viver Pra esquecer de mim.  Quanto mais eu sou Menos sou o que sei. E pra o que nasci, Será que cumprirei? O que será que eu sei Num corpo a mendigar, Qual é a lei No desvão do amar?  Me consumi Pra ter um pouco de ti, Clamei por atenção! Jamais usei Sapatos tão peculiares, Andei vestida por colares mis, Violentei até meus ares sutis!..."
Aridez,/djavan/aridez.html,vidas pra contar,"Atravesso o deserto escuro Pra fugir da solidão Você que é meu farol Não deixe eu me perder, não É você quem há de me tirar Dessa tremenda aridez Você que me faz sonhar Veja o que faz dessa vez Sonhador, devagar ou voando Chego lá! De sonhar, eu sei Que já nem vivo mais E mesmo amando só A esperança não se desfaz O amor chega a ser um pecado De tão bom É a paz forjada Por conflitos mil Abalos pontuais Quando se ama, vive-se mais Quantos beijos Poderíamos ter dado E os encantados dias Que como tudo indica Seriam Não faz mal Você é água da fonte Que irriga um coração Feito pra bater Pra sempre por você Amor!"
Asa,/djavan/asa.html,"Djavan na Pista, Etc","A manhã me socorreu com flores e aves Suaves, soltas, em asa azul Borboletas em bando Diz que pedra não fala Que dirá se falasse Eu: ""Ama? Me ama, Me queima na sua cama"", O veludo da fala Disse: ""Beijo, que é doce Me prende, me iguala Me rende com sua bala"". Diz que pedra não fala Que dirá se falasse Eu: ""Ama? Me ama Me queima na sua cama"". O veludo da fala Disse: ""Beijo, que é doce Me prende, me iguala Me rende com sua bala"" Se disfarce de Zeus De Juruna, na deusa Azul Se me comover Eu já sei que és tu Claridade de um novo dia Não havia sem você Você passou e eu me esqueci O que ia dizer  (Refrão) O que há pra falar? Onde leva essa ladeira? Que tristes terras vencerá Um intérprete tocando Blues?"
