Nome da Música,link,album,letra
Além dos Outdoors,/engenheiros-do-hawaii/alem-dos-outdoors.html,Infinita Highway,"no ar da nossa aldeia há rádio, cinema &amp; televisão mas o sangue só corre nas veias por pura falta de opção  as aranhas não tecem suas teias por loucura ou por paixão se o sangue ainda corre nas veias é por pura falta de opção  você sabe, o que eu quero dizer não tá escrito nos outdoors por mais que a gente grite o silêncio é sempre maior  no céu, além de nuvens há sexo, drogas &amp; palavrões as coisas mudam de nome mas continuam sendo religiões  no dia-à-dia da nossa aldeia há infelizes enfartados de informação as coisas mudam de nome mas continuam sendo o que sempre serão  você sabe o que eu quero dizer não tá escrito nos outdoors por mais que a gente grite o silêncio é sempre maior  no ar da nossa aldeia há mais do que poluição há poucos que já foram e muitos que nunca serão  as aranhas não tecem suas teias por loucura ou por paixão se o sangue ainda corre nas veias é por pura falta de opção  você sabe o que eu quero dizer não vale uma canção por mais que a gente cante o silêncio é sempre maior  você sabe o que eu quero dizer não cabe na canção por pura falta de opção púrpura é a cor do coração"
Algo Por Você,/engenheiros-do-hawaii/algo-por-voce.html,Infinita Highway,"by R.Shazzy  Hey garota Não fique esperando o telefone tocar Os homens são o que são e são todos iguais O difícil é saber quem é clone de quem Quem é clone de quem Quem é clone de quem  Hey garota Não fique esperando o telefone tocar De volta ao passado, tecendo tapetes, Esperando o guerreiro voltar Já lhe fizeram sofrer demais Já lhe fizeram feliz de mais Tá na hora de você mesma fazer algo por você Só você pode fazer!  Hey garota O dia já passou Não deixe a noite passar Passe um batom - ou não - E vá se divertir Você vai descobrir quem é clone de quem  Já lhe fizeram sofrer demais Já lhe fizeram feliz demais Tá na hora de você mesma fazer algo por você Só você pode fazer!  Hey garota...faça um favor... Não fique esperando...faça algo por você Hey garota...faça um favor... Não fique esperando...faça algo por você Faça algo por você!"
Algum Algorítimo,/engenheiros-do-hawaii/algum-algoritimo.html,Não Vejo a Hora,"Há um tempo para tudo Ele não para, não Pra semear, pra colher Pra esquecer a plantação  Hora de passar giz no taco Hora de guardar a viola no saco Há um tempo para tudo Ele não para, não  Tudo isso eu sei Mas não vejo a hora de te ver Tudo isso eu sei Mas não quero nem saber Tudo isso eu sei  Quais as chances verdadeiras Dessa barca decolar Se o mapa do tesouro Leva a outro lugar  Somos muito diferentes Improvável par Algoritmo algum ousaria nos ligar  Tudo isso eu sei Mas não vejo a hora de te ver Tudo isso eu sei Mas não quero nem saber Tudo isso eu sei  Não vemos as mesmas séries Nunca escolhemos o mesmo chá Dormimos em horários diferentes A temperatura ambiente nos faz discordar  Mas, enfim, mesmo assim A tormenta perfeita não cai Um imã atrai nuvens de metal Suspendendo a força gravitacional  Tudo isso eu sei Tudo isso eu sei"
Alívio Imediato,/engenheiros-do-hawaii/alivio-imediato.html,Novos Horizontes,"O melhor esconderijo, a maior escuridão Já não servem de abrigo, já não dão proteção A Líbia bombardeada, a libido e o vírus O poder o pudor os lábios e o batom  O melhor esconderijo, a maior escuridão Já não servem de abrigo, já não dão proteção A Líbia bombardeada, a libido e o vírus O poder o pudor os lábios e o batom  Que a chuva caia como uma luva Um diluvio um delirio Que a chuva traga alívio imediato Que a noite caia de repente caia Tão demente quanto um raio Que a noite traga alívio imediato  Há espaço pra todos há um imenso vazio Nesse espelho quebrado por alguém que partiu A noite cai de alturas impossíveis E quebra o silêncio e parte o coração  Há um muro de concreto entre nossos lábios Há um muro de Berlin dentro de mim Tudo se divide todos se separam Duas Alemanhas duas Coreias Tudo se divide todos se separam  Que a chuva caia como uma luva Um dilúvio um delírio Que a chuva traga alívio imediato Que a noite caia de repente caia Tão demente quanto um raio Que a noite traga alívio imediato  Todos se separam Tudo se divide Todos se separam  Que a chuva caia como uma luva Um diluvio um delirio Que a chuva traga - alívio imediato Que a noite caia de repente caia Tão demente quanto um raio Que a noite traga - alívio"
Alivio Imediato (acustico),/engenheiros-do-hawaii/alivio-imediato-acustico.html,,"O melhor esconderijo, a maior escuridão Já não servem de abrigo, já não dão proteção holofotes que iluminam a libido e o vírus O poder, o pudor os lábios e o batom  Há um muro de concreto entre nossos lábios Há um muro de Berlim dentro de mim Tudo se divide todos se separam A diferença é o que temos em comum  Que a chuva caia como uma luva Um diluvio um delírio Que a chuva traga alivio imediato Que a noite caia de repente caia Tao demente quanto um raio Que a noite traga alivio imediato  Não ha nada de concreto entre nossos labios Só um muro de batom e frases sem fim holofotes nos meus olhos cegam mais do que iluminam nem caiu a ficha e já caiu a ligaçao  Que a chuva caia como uma luva Um diluvio um delírio Que a chuva traga - alivio imediato Que a noite caia de repente caia Tao demente quanto um raio Que a noite traga - alivio imediato  Que a chuva caia como uma luva Um diluvio um delírio Que a chuva traga - alivio imediato Que a noite caia de repente caia Tao demente quanto um raio Que a noite traga - alivio imediato"
Alívio Imediato/Ilex Paraguaienses,/engenheiros-do-hawaii/alivio-imediato-ilex-paraguaienses.html,,"Hoje eu acordei mais cedo, tomei sozinho o chimarrão Procurei a noite na memória... procurei em vão Hoje eu acordei mais leve (nem li o jornal) Tudo deve estar suspenso... nada deve pesar Ainda era noite, esperei o dia amanhecer Como quem aquece a água sem deixar ferver Hoje eu acordei, agora eu sei viver no escuro Até que a chama se acenda Verde... quente... erva... ventre... dentro... entranhas Mate amargo noite adentro estrada estranha o melhor esconderijo a maior escuridão já não servem de abrigo já não dão proteção holofotes iluminam a libido e o vírus o poder, o pudor os lábios e o batom que a chuva caia como uma luva um dilúvio um delírio que a chuva traga alívio imediato Que a noite caia, de repente caia, Tão demente quanto um raio Que a noite traga alívio imediato ilex paraguarienses relax... agora, paciência"
Alucinação,/engenheiros-do-hawaii/alucinacao.html,Infinita Highway,"Eu não estou interessado em nenhuma teoria em nenhuma fantasia nem no algo mais longe o profeta do terror que a laranja mecânica anuncia amar e mudar as coisas me interessa mais muito mais...me interessa  eu não estou interessado em nenhuma teoria nessas coisas do oriente, romances astrais minha alucinação é suportar o dia-a-dia meu delírio é a experiência com coisas reais  um preto, um pobre, um estudante, uma mulher sozinha blue jeans e motocicletas, pessoas cinzas normais garotas dentro da noite...revólver:""cheira cachorro"" os humilhados do parque com os seus jornais me interessam amar e mudar as coisas me interessa mais  um corpo cai do oitavo andar a solidão das pessoas nessas capitais a violência da noite...o movimento do trâfego amar e mudar...amar e mudar amar e mudar as coisas me interessa mais  eu não estou interessado em nenhuma teoria em nenhuma fantasia nem no algo mais longe o profeta do terror que a laranja mecânica anuncia  amar e mudar as coisas me interessa mais"
Amor Quente,/engenheiros-do-hawaii/amor-quente.html,,"Preto no branco Amarelo, um pouco de azul Noite estrelada Peito feliz  Olho no olho Pintura a quatro mãos Tintas claras O mesmo cigarro Isso é amor Amor quente  Água de coco pra dois Porta do carro aberta Vento morno da areia Palavras mentirosas Isso é amor Amor quente  Cama de casal Luz bem baixinha pra ver Gemidos de dor e alegria Sair de si por três minutos Isso é amor Amor quente  Supermercado, escolher iogurte Fazer compras juntos Brigar por besteiras Isso é amor Amor quente  Tomar café, banho, brisa Champanhe, tristeza, beleza Cremes, músicas, sucos, água Drogas, fumo, passar perfume Isso é amor Amor quente"
Ando Só,/engenheiros-do-hawaii/ando-so.html,Infinita Highway," Ando só Pois só eu sei Pra onde ir Por onde andei Ando só nem sei por que Não me pergunte o que eu não sei Pergunte ao pó Desça ao porão Siga aquele carro ou as pegadas que eu deixei Pergunte ao pó por onde andei Há um mapa dos meus passos nos pedaços que eu deixei Desate o nó Que te prendeu A uma pessoa que nunca te mereceu Desate o nó que nos uniu Num desatino, um desafio Ando só Como um pássaro voando Ando só Como se voasse em bando Ando só Pois só eu sei andar Sem saber até quando Andó só Ando só... até ...sem saber até quando Ando só    "
Anjo da Guarda,/engenheiros-do-hawaii/anjo-da-guarda.html,,Anjo Da Guarda Engenheiros do Hawaii Composição: Humberto Gessinger  Sem que você saiba Há um anjo que te guarda Ele guarda os segredos Da cura e proteção  Um Anjo caído Procura alguém pra guardar E dança um tango Sem par e sem parar  Sem que você peça Sempre haverá Abrigo pro frio do inverno A brisa na febre do verão  Quem salva quer salvação Canta só pra ouvir a canção Procura como um louco procura A própria cura  De bar em bar em bar A fim de encontrar Abrigo pro frio do inverno A brisa na febre do verão  Quem salva quer salvação Canta só pra ouvir a canção Procura como um louco procura A própria cura  Anjo da Guarda ajuda-me Anjo da Guarda ajuda
